github repo,cve vendor,cve product,cve ids
ClickHouse/ClickHouse,clickhouse,clickhouse,CVE-2018-14668 CVE-2018-14669 CVE-2018-14670 CVE-2018-14671 CVE-2018-14672 CVE-2019-15024 CVE-2019-16535 CVE-2019-16536 CVE-2019-18657 CVE-2021-42387 CVE-2021-42388 CVE-2021-42389 CVE-2021-42390 CVE-2021-42391 CVE-2021-43304 CVE-2021-43305
ClickHouse/ClickHouse,clickhouse,clickhouse,CVE-2018-14668 CVE-2018-14669 CVE-2018-14670 CVE-2018-14671 CVE-2018-14672 CVE-2019-15024 CVE-2019-16535 CVE-2019-16536 CVE-2019-18657 CVE-2021-42387 CVE-2021-42388 CVE-2021-42389 CVE-2021-42390 CVE-2021-42391 CVE-2021-43304 CVE-2021-43305
Clinical-Genomics/scout,clinical-genomics,scout,CVE-2022-1554 CVE-2022-1592
clojure/clojure,clojure,clojure,CVE-2017-20189
cloudflare/golz4,cloudflare,golz4,CVE-2014-125026
cloudfoundry/archiver,cloudfoundry,archiver,CVE-2018-25046
cloudfoundry/php-buildpack,cloudfoundry,php-buildpack,CVE-2016-6639
ClusterLabs/booth,clusterlabs,booth,CVE-2022-2553
ClusterLabs/crmsh,clusterlabs,crmsh,CVE-2020-35459
ClusterLabs/libqb,clusterlabs,libqb,CVE-2019-12779
ClusterLabs/pacemaker,clusterlabs,pacemaker,CVE-2010-2496 CVE-2011-5271 CVE-2013-0281 CVE-2015-1867 CVE-2016-7035 CVE-2016-7797 CVE-2018-16877 CVE-2018-16878 CVE-2019-3885 CVE-2020-25654
